Course Code,course_title,course_code,keywords
BCHY101L,Engineering Chemistry,BCHY101L : Engineering Chemistry,
BCHY101P,Engineering Chemistry Lab,BCHY101P : Engineering Chemistry Lab,
BMAT101L,Calculus,BMAT101L : Calculus,
BMAT101P,Calculus Lab,BMAT101P : Calculus Lab,
BMAT102L,Differential Equations and Transforms,BMAT102L : Differential Equations and Transforms,
BMAT201L,Complex Variables and Linear Algebra,BMAT201L : Complex Variables and Linear Algebra,
BMAT202L,Probability and Statistics,BMAT202L : Probability and Statistics,
BMAT202P,Probability and Statistics Lab,BMAT202P : Probability and Statistics Lab,
BPHY101L,Engineering Physics,BPHY101L : Engineering Physics,
BPHY101P,Engineering Physics Lab,BPHY101P : Engineering Physics Lab,
BCSE101E,Computer Programming : Python,BCSE101E : Computer Programming : Python,
BCSE103E,Computer Programming : Java,BCSE103E : Computer Programming : Java,
BEEE102L,Basic Electrical and Electronics Engineering,BEEE102L : Basic Electrical and Electronics Engineering,
BEEE102P,Basic Electrical and Electronics Engineering Lab,BEEE102P : Basic Electrical and Electronics Engineering Lab,
BENG101L,Technical English Communication,BENG101L : Technical English Communication,
BENG101N,Effective English Communication,BENG101N : Effective English Communication,
BENG101P,Technical English Communication Lab,BENG101P : Technical English Communication Lab,
BENG102P,Technical Report Writing,BENG102P : Technical Report Writing,
BFLE200L,Foreign Language,BFLE200L : Foreign Language,
BHSM200L,HSM Elective,BHSM200L : HSM Elective,
BSTS101P,Quantitative Skills Practice I,BSTS101P : Quantitative Skills Practice I,
BSTS102P,Quantitative Skills Practice II,BSTS102P : Quantitative Skills Practice II,
BSTS201P,Qualitative Skills Practice I,BSTS201P : Qualitative Skills Practice I,
BSTS202P,Qualitative Skills Practice II,BSTS202P : Qualitative Skills Practice II,
BECE203L,Circuit Theory,BECE203L : Circuit Theory,
BEVD101L,Electronic Materials,BEVD101L : Electronic Materials,
BECE102L,Digital Systems Design,BECE102L : Digital Systems Design,
BECE102P,Digital Systems Design Lab,BECE102P : Digital Systems Design Lab,
BECE204L,Microprocessors and Microcontrollers,BECE204L : Microprocessors and Microcontrollers,
BECE204P,Microprocessors and Microcontrollers Lab,BECE204P : Microprocessors and Microcontrollers Lab,
BECE302L,Control Systems,BECE302L : Control Systems,
BECE303L,VLSI System Design,BECE303L : VLSI System Design,
BECE303P,VLSI System Design Lab,BECE303P : VLSI System Design Lab,
BEVD202L,Electromagnetic Field Theory,BEVD202L : Electromagnetic Field Theory,
BEVD203L,Signal Processing,BEVD203L : Signal Processing,
BEVD204L,Electronic Circuits,BEVD204L : Electronic Circuits,
BEVD204P,Electronic Circuits Lab,BEVD204P : Electronic Circuits Lab,
BEVD205L,Scripting Languages and Verication,BEVD205L : Scripting Languages and Verication,
BEVD205P,Scripting Languages and Verication Lab,BEVD205P : Scripting Languages and Verication Lab,
BEVD206L,Semiconductor Device Modelling,BEVD206L : Semiconductor Device Modelling,
BEVD206P,Semiconductor Device Modelling Lab,BEVD206P : Semiconductor Device Modelling Lab,
BEVD207L,Computer Architecture,BEVD207L : Computer Architecture,
BEVD301L,ASIC Design,BEVD301L : ASIC Design,
BEVD301P,ASIC Design Lab,BEVD301P : ASIC Design Lab,
